path,bit,D_expected_distort,mean_absz,frac_below_0.01,cosine_to_true,parity_pct,binR10
ceiling,64,0.00909,0.02563,0.2387,1.0,100.0,66.86
ceiling,256,0.00913,0.02547,0.2427,1.0,100.0,77.48
ceiling,1024,0.00938,0.02497,0.2497,1.0,100.0,79.92
distillation,64,0.00889,0.02575,0.2383,0.8664,86.91,56.82
distillation,256,0.00908,0.02552,0.2417,0.8664,86.91,67.74
distillation,1024,0.00947,0.02495,0.25,0.8664,86.91,70.86
head-adapt,64,0.00965,0.02376,0.257,nan,81.64,58.06
head-adapt,256,0.00986,0.02361,0.2606,nan,81.64,70.56
head-adapt,1024,0.0094,0.02499,0.249,nan,81.64,74.0
