path,sum_bit_entropy,mean_abs_offcorr,p99_abs_offcorr,code_rank
image,1022.52,0.0754,0.25035,1024
ceiling,1019.79,0.07654,0.25299,1024
distillation,1017.95,0.08139,0.26698,1024
head-adapt,1022.33,0.08157,0.26824,1024
