backbone,family,dim,server_1bit_EN_R10,server_1bit_KO_R10,head_cont_ceiling_EN_R10,head_cont_ceiling_KO_R10,MiniLM_headadapt_EN_R10,MiniLM_headadapt_KO_R10,head_bf16_flip,head_int8_flip,emb_bf16_flip,emb_int8_flip,server_1bit_EN_R1,server_1bit_KO_R1
google/siglip2-so400m-patch14-384 (ft113 ref),SigLIP2-so400m,1152,79.92,71.08,80.52,72.04,78.16,65.44,0.95,18.97,0.18,5.45,41.64,30.52
google/siglip2-base-patch16-256,SigLIP2-base,768,78.12,56.7,78.62,57.9,76.14,53.78,0.98,24.48,0.0,9.19,38.16,21.14
