comp,setting,seed,bit,R1_EN,R5_EN,R10_EN,R1_KO,R5_KO,R10_KO,margin_mean,margin_p10,flip_pct,cos_pair
W,W_wq0.06_wm0.1,42,128,21.56,48.24,62.1,15.42,38.98,53.14,0.025,0.004,2.176,0.6512
W,W_wq0.06_wm0.1,42,256,25.42,54.74,68.14,18.42,44.92,58.3,0.025,0.004,2.176,0.6512
W,W_wq0.06_wm0.1,42,512,28.22,57.74,70.42,20.84,47.52,60.92,0.025,0.004,2.176,0.6512
W,W_wq0.06_wm0.1,42,1024,30.08,59.54,71.32,21.98,49.72,62.9,0.025,0.004,2.176,0.6512
W,W_wq0.06_wm0.4,42,64,15.56,39.96,53.3,11.44,31.24,44.0,0.025,0.004,2.175,0.6514
W,W_wq0.06_wm0.4,42,128,21.6,48.22,62.14,15.46,39.06,53.2,0.025,0.004,2.175,0.6514
W,W_wq0.06_wm0.4,42,256,25.52,54.84,68.06,18.5,44.9,58.36,0.025,0.004,2.175,0.6514
W,W_wq0.06_wm0.4,42,512,28.12,57.78,70.38,20.98,47.54,60.86,0.025,0.004,2.175,0.6514
W,W_wq0.06_wm0.4,42,1024,30.02,59.52,71.28,22.0,49.8,62.82,0.025,0.004,2.175,0.6514
W,W_wq0.128134_wm0,42,64,15.58,39.86,53.34,11.44,31.26,43.94,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0,42,128,21.56,48.16,62.22,15.5,39.04,53.14,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0,42,256,25.44,54.76,68.2,18.44,44.82,58.3,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0,42,512,28.2,57.64,70.38,20.88,47.62,60.9,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0,42,1024,30.14,59.54,71.3,22.0,49.7,62.76,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.1,42,64,15.58,39.92,53.32,11.4,31.24,43.98,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.1,42,128,21.54,48.16,62.18,15.44,39.04,53.18,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.1,42,256,25.46,54.78,68.1,18.38,44.86,58.32,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.1,42,512,28.14,57.72,70.38,20.9,47.62,60.88,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.1,42,1024,30.1,59.52,71.3,22.0,49.72,62.88,0.025,0.004,2.174,0.6512
W,W_wq0.128134_wm0.4,42,64,15.56,40.0,53.36,11.44,31.24,44.1,0.025,0.004,2.174,0.6514
W,W_wq0.128134_wm0.4,42,128,21.48,48.24,62.16,15.48,39.24,53.16,0.025,0.004,2.174,0.6514
W,W_wq0.128134_wm0.4,42,256,25.52,54.82,68.0,18.4,44.88,58.46,0.025,0.004,2.174,0.6514
W,W_wq0.128134_wm0.4,42,512,28.14,57.76,70.4,20.94,47.5,60.78,0.025,0.004,2.174,0.6514
W,W_wq0.128134_wm0.4,42,1024,29.98,59.52,71.2,21.98,49.82,62.82,0.025,0.004,2.174,0.6514
W,W_wq0.25_wm0,42,64,15.56,39.86,53.36,11.22,31.1,44.04,0.025,0.004,2.172,0.6511
W,W_wq0.25_wm0,42,128,21.42,48.1,62.24,15.38,39.12,53.04,0.025,0.004,2.172,0.6511
W,W_wq0.25_wm0,42,256,25.4,54.74,68.1,18.36,44.86,58.38,0.025,0.004,2.172,0.6511
W,W_wq0.25_wm0,42,512,28.1,57.62,70.36,20.94,47.66,60.9,0.025,0.004,2.172,0.6511
W,W_wq0.25_wm0,42,1024,30.1,59.42,71.34,22.0,49.78,62.74,0.025,0.004,2.172,0.6511
W,W_wq0.25_wm0.1,42,64,15.64,39.86,53.28,11.26,31.1,44.0,0.025,0.004,2.172,0.6512
W,W_wq0.25_wm0.1,42,128,21.46,48.08,62.28,15.42,39.02,53.02,0.025,0.004,2.172,0.6512
W,W_wq0.25_wm0.1,42,256,25.42,54.78,68.06,18.4,44.8,58.38,0.025,0.004,2.172,0.6512
W,W_wq0.25_wm0.1,42,512,28.1,57.64,70.34,21.0,47.58,60.9,0.025,0.004,2.172,0.6512
W,W_wq0.25_wm0.1,42,1024,30.06,59.42,71.3,21.98,49.78,62.76,0.025,0.004,2.172,0.6512
W,W_wq0.25_wm0.4,42,64,15.6,39.84,53.3,11.24,31.18,44.04,0.025,0.004,2.171,0.6513
W,W_wq0.25_wm0.4,42,128,21.44,48.14,62.3,15.48,39.08,53.2,0.025,0.004,2.171,0.6513
W,W_wq0.25_wm0.4,42,256,25.52,54.82,68.1,18.22,44.86,58.36,0.025,0.004,2.171,0.6513
W,W_wq0.25_wm0.4,42,512,28.2,57.68,70.42,20.94,47.52,60.86,0.025,0.004,2.171,0.6513
W,W_wq0.25_wm0.4,42,1024,29.98,59.48,71.3,21.98,49.82,62.86,0.025,0.004,2.171,0.6513
W,W_wq0.06_wm0,0,64,16.34,39.32,52.78,11.64,32.02,44.24,0.025,0.004,2.185,0.6509
W,W_wq0.06_wm0,0,128,21.58,48.56,62.04,15.48,39.54,52.98,0.025,0.004,2.185,0.6509
W,W_wq0.06_wm0,0,256,25.5,53.92,67.62,18.82,44.68,58.78,0.025,0.004,2.185,0.6509
W,W_wq0.06_wm0,0,512,28.88,57.72,70.42,20.9,47.8,61.6,0.025,0.004,2.185,0.6509
W,W_wq0.06_wm0,0,1024,29.74,59.02,71.6,21.66,49.46,63.06,0.025,0.004,2.185,0.6509
W,W_wq0.06_wm0,1,64,16.48,39.52,52.94,10.96,30.98,44.16,0.025,0.004,2.185,0.6515
W,W_wq0.06_wm0,1,128,21.28,48.48,62.48,14.98,39.1,52.8,0.025,0.004,2.185,0.6515
W,W_wq0.06_wm0,1,256,26.4,54.66,67.68,18.26,44.44,58.14,0.025,0.004,2.185,0.6515
W,W_wq0.06_wm0,1,512,28.24,57.78,70.6,20.48,47.54,61.24,0.025,0.004,2.185,0.6515
W,W_wq0.06_wm0,1,1024,29.72,59.52,71.66,22.1,49.16,62.7,0.025,0.004,2.185,0.6515
C,C_T04,0,64,16.34,39.34,52.7,11.66,32.0,44.12,0.025,0.004,2.185,0.6509
C,C_T04,0,128,21.7,48.68,62.16,15.38,39.48,52.94,0.025,0.004,2.185,0.6509
C,C_T04,0,256,25.54,53.82,67.6,18.78,44.78,58.84,0.025,0.004,2.185,0.6509
C,C_T04,0,512,28.86,57.66,70.34,20.8,47.6,61.5,0.025,0.004,2.185,0.6509
C,C_T04,0,1024,29.66,58.92,71.64,21.74,49.48,63.12,0.025,0.004,2.185,0.6509
C,C_T04,1,64,16.3,39.54,53.06,10.9,30.94,44.2,0.025,0.004,2.185,0.6515
C,C_T04,1,128,21.16,48.5,62.38,15.0,39.1,52.78,0.025,0.004,2.185,0.6515
C,C_T04,1,256,26.38,54.62,67.8,18.26,44.4,58.26,0.025,0.004,2.185,0.6515
C,C_T04,1,512,28.24,57.8,70.7,20.28,47.66,61.3,0.025,0.004,2.185,0.6515
C,C_T04,1,1024,29.62,59.58,71.62,21.94,49.22,62.72,0.025,0.004,2.185,0.6515
U,U_wu0.2_m0.05,0,64,16.4,39.44,52.8,11.62,31.94,44.12,0.025,0.004,2.186,0.6509
U,U_wu0.2_m0.05,0,128,21.6,48.58,62.08,15.42,39.62,52.96,0.025,0.004,2.186,0.6509
U,U_wu0.2_m0.05,0,256,25.5,53.92,67.66,18.86,44.76,58.76,0.025,0.004,2.186,0.6509
U,U_wu0.2_m0.05,0,512,28.92,57.74,70.36,20.9,47.74,61.5,0.025,0.004,2.186,0.6509
U,U_wu0.2_m0.05,0,1024,29.72,58.94,71.6,21.7,49.6,63.06,0.025,0.004,2.186,0.6509
U,U_wu0.2_m0.05,1,64,16.46,39.52,52.9,10.92,31.04,44.26,0.025,0.004,2.187,0.6515
U,U_wu0.2_m0.05,1,128,21.24,48.56,62.42,14.98,39.2,52.76,0.025,0.004,2.187,0.6515
U,U_wu0.2_m0.05,1,256,26.38,54.72,67.7,18.26,44.5,58.12,0.025,0.004,2.187,0.6515
U,U_wu0.2_m0.05,1,512,28.16,57.86,70.62,20.44,47.46,61.26,0.025,0.004,2.187,0.6515
U,U_wu0.2_m0.05,1,1024,29.64,59.52,71.66,22.06,49.26,62.72,0.025,0.004,2.187,0.6515
