path,kind,cos_bin,count
distillation,random,0.36,0
distillation,random,0.38,0
distillation,random,0.4,0
distillation,random,0.42,0
distillation,random,0.44,0
distillation,random,0.46,0
distillation,random,0.48,0
distillation,random,0.5,0
distillation,random,0.52,0
distillation,random,0.54,0
distillation,random,0.56,0
distillation,random,0.58,0
distillation,random,0.6,0
distillation,random,0.62,0
distillation,random,0.64,0
distillation,random,0.66,0
distillation,random,0.68,0
distillation,random,0.7,0
distillation,random,0.72,0
distillation,random,0.74,0
distillation,random,0.76,0
distillation,random,0.78,0
distillation,random,0.8,0
distillation,random,0.82,0
distillation,random,0.84,0
distillation,random,0.86,0
distillation,random,0.88,0
distillation,random,0.9,0
distillation,random,0.92,0
distillation,random,0.94,0
distillation,random,0.96,0
distillation,random,0.98,0
