source,rank,singular_value,var_frac
image,199,1.606972,0.001034
image,-1,99.756,-1
ceiling,0,14.881014,0.069974
ceiling,1,10.861893,0.037281
ceiling,2,9.902314,0.030985
ceiling,3,8.863069,0.024822
ceiling,4,8.389456,0.02224
ceiling,5,8.006591,0.020257
ceiling,6,7.797023,0.01921
ceiling,7,7.1681,0.016236
ceiling,8,6.894394,0.01502
ceiling,9,6.486097,0.013294
ceiling,10,6.335243,0.012682
ceiling,11,6.273569,0.012437
ceiling,12,6.187462,0.012098
ceiling,13,6.093787,0.011734
ceiling,14,5.962007,0.011232
ceiling,15,5.920441,0.011076
ceiling,16,5.844542,0.010794
ceiling,17,5.659697,0.010122
ceiling,18,5.503478,0.009571
ceiling,19,5.296385,0.008864
ceiling,20,5.245906,0.008696
ceiling,21,5.153884,0.008394
ceiling,22,5.046864,0.008049
ceiling,23,4.979811,0.007836
ceiling,24,4.966172,0.007793
ceiling,25,4.936143,0.007699
ceiling,26,4.864832,0.007478
ceiling,27,4.775382,0.007206
ceiling,28,4.740007,0.0071
ceiling,29,4.6421,0.006809
ceiling,30,4.555234,0.006557
ceiling,31,4.549045,0.006539
ceiling,32,4.481162,0.006345
ceiling,33,4.405632,0.006133
ceiling,34,4.353826,0.00599
ceiling,35,4.29702,0.005835
ceiling,36,4.225883,0.005643
ceiling,37,4.201272,0.005577
ceiling,38,4.144968,0.005429
ceiling,39,4.12447,0.005375
ceiling,40,4.100825,0.005314
ceiling,41,4.074457,0.005246
ceiling,42,4.030249,0.005133
ceiling,43,4.009399,0.00508
ceiling,44,3.91863,0.004852
ceiling,45,3.905926,0.004821
ceiling,46,3.880756,0.004759
ceiling,47,3.840691,0.004661
ceiling,48,3.813909,0.004596
ceiling,49,3.775944,0.004505
ceiling,50,3.729633,0.004395
ceiling,51,3.700925,0.004328
ceiling,52,3.692057,0.004307
ceiling,53,3.665109,0.004245
ceiling,54,3.621246,0.004144
ceiling,55,3.589856,0.004072
ceiling,56,3.572419,0.004033
ceiling,57,3.566082,0.004018
ceiling,58,3.545738,0.003973
ceiling,59,3.489893,0.003849
ceiling,60,3.456676,0.003776
ceiling,61,3.434097,0.003726
ceiling,62,3.427355,0.003712
ceiling,63,3.401261,0.003656
ceiling,64,3.383625,0.003618
ceiling,65,3.346541,0.003539
ceiling,66,3.332177,0.003509
ceiling,67,3.306032,0.003454
ceiling,68,3.288291,0.003417
ceiling,69,3.246352,0.00333
ceiling,70,3.219724,0.003276
ceiling,71,3.211048,0.003258
ceiling,72,3.173255,0.003182
ceiling,73,3.134037,0.003104
ceiling,74,3.130079,0.003096
ceiling,75,3.117764,0.003072
ceiling,76,3.106298,0.003049
ceiling,77,3.099051,0.003035
ceiling,78,3.068594,0.002975
ceiling,79,3.055181,0.002949
ceiling,80,3.009871,0.002863
ceiling,81,3.005735,0.002855
ceiling,82,2.977594,0.002802
ceiling,83,2.967824,0.002783
ceiling,84,2.932254,0.002717
ceiling,85,2.918023,0.002691
ceiling,86,2.906963,0.00267
ceiling,87,2.902284,0.002662
ceiling,88,2.878657,0.002619
ceiling,89,2.859211,0.002583
ceiling,90,2.841582,0.002551
ceiling,91,2.825656,0.002523
ceiling,92,2.803563,0.002484
ceiling,93,2.775408,0.002434
