backbone,lang,direction,dim,bits_per_dim,total_bits,r10
altclip-m18,ko,I2T,128,2,256,54.88
altclip-m18,ko,I2T,256,2,512,53.46
altclip-m18,ko,I2T,512,2,1024,42.46
altclip-m18,ko,I2T,1024,2,2048,13.18
altclip-m18,ko,I2T,2,1,2,0.38
altclip-m18,ko,I2T,4,1,4,0.88
altclip-m18,ko,I2T,8,1,8,2.64
altclip-m18,ko,I2T,16,1,16,7.8
altclip-m18,ko,I2T,32,1,32,16.08
altclip-m18,ko,I2T,64,1,64,29.16
altclip-m18,ko,I2T,128,1,128,38.26
altclip-m18,ko,I2T,256,1,256,37.36
altclip-m18,ko,I2T,512,1,512,28.22
altclip-m18,ko,I2T,1024,1,1024,6.28
