path,success,hmargin,diralign
ceiling,1,10,0.3149
ceiling,1,-48,0.29009
ceiling,1,-13,0.26224
ceiling,0,-53,0.17228
ceiling,1,-18,0.24107
ceiling,1,27,0.30146
ceiling,1,-25,0.27218
ceiling,1,13,0.33286
ceiling,0,-80,0.23511
ceiling,1,59,0.33965
ceiling,1,46,0.28521
ceiling,1,-11,0.27771
ceiling,1,38,0.26833
ceiling,1,-15,0.24262
ceiling,1,91,0.32731
ceiling,1,-50,0.21283
ceiling,1,-11,0.28937
ceiling,1,3,0.34127
ceiling,1,-28,0.25036
ceiling,1,11,0.27856
ceiling,0,-90,0.22656
ceiling,1,-18,0.25538
ceiling,1,-9,0.28142
ceiling,1,-36,0.2717
ceiling,0,-87,0.26404
ceiling,1,53,0.31854
ceiling,1,12,0.30451
ceiling,1,-33,0.29673
ceiling,1,-58,0.26105
ceiling,1,-5,0.35564
ceiling,1,8,0.33655
ceiling,0,-71,0.24075
ceiling,1,-3,0.24838
ceiling,0,-126,0.15716
ceiling,1,2,0.25389
ceiling,1,-57,0.2578
ceiling,1,-11,0.29625
ceiling,1,39,0.32368
ceiling,1,28,0.33089
ceiling,1,-11,0.28125
ceiling,1,49,0.34177
ceiling,1,-18,0.29789
ceiling,1,-63,0.18986
ceiling,0,-54,0.22016
ceiling,1,8,0.29749
ceiling,0,-117,0.16884
ceiling,1,-34,0.25486
ceiling,1,-13,0.29361
ceiling,1,-23,0.28807
ceiling,1,-8,0.273
ceiling,0,-76,0.24045
ceiling,0,-56,0.21543
ceiling,1,-47,0.24192
ceiling,1,23,0.33904
ceiling,1,32,0.30182
ceiling,0,-89,0.24228
ceiling,0,-33,0.25127
ceiling,1,-14,0.26284
ceiling,1,12,0.33274
ceiling,1,45,0.25628
ceiling,1,-21,0.30012
ceiling,1,-8,0.3024
ceiling,0,-115,0.23166
ceiling,1,-64,0.26389
ceiling,1,-59,0.23326
ceiling,1,-11,0.3005
ceiling,1,11,0.30675
ceiling,1,79,0.33318
ceiling,0,-48,0.23588
ceiling,1,-11,0.29377
ceiling,1,-50,0.28277
ceiling,1,17,0.27746
ceiling,1,-4,0.34599
ceiling,1,-97,0.25577
ceiling,0,-128,-0.0001
ceiling,1,-38,0.29465
ceiling,1,2,0.27182
ceiling,1,-51,0.24413
ceiling,1,27,0.31492
ceiling,1,55,0.30096
ceiling,1,52,0.28698
ceiling,1,29,0.30935
ceiling,1,70,0.31117
ceiling,1,3,0.33465
ceiling,1,13,0.26263
ceiling,0,-47,0.20917
ceiling,0,-179,0.12449
ceiling,1,-40,0.26328
ceiling,1,24,0.29902
ceiling,1,-27,0.26754
ceiling,1,27,0.26809
ceiling,1,16,0.33128
ceiling,1,-58,0.25304
ceiling,1,-24,0.31825
ceiling,1,13,0.28879
ceiling,1,-38,0.2918
ceiling,1,53,0.28511
