comp,setting,seed,bit,R1_EN,R5_EN,R10_EN,margin_mean,margin_p10,flip_pct,cos_pair
W,W_wq0.128134_wm0,42,256,35.58,64.72,75.8,0.0251,0.004,0.949,0.7729
W,W_wq0.128134_wm0,42,512,38.2,66.74,77.04,0.0251,0.004,0.949,0.7729
W,W_wq0.128134_wm0,42,1024,39.2,68.0,78.02,0.0251,0.004,0.949,0.7729
W,W_wq0.128134_wm0.1,42,64,25.88,52.88,65.98,0.0251,0.004,0.947,0.7729
W,W_wq0.128134_wm0.1,42,128,32.1,60.5,72.5,0.0251,0.004,0.947,0.7729
W,W_wq0.128134_wm0.1,42,256,35.44,64.8,75.82,0.0251,0.004,0.947,0.7729
W,W_wq0.128134_wm0.1,42,512,38.08,66.74,77.06,0.0251,0.004,0.947,0.7729
W,W_wq0.128134_wm0.1,42,1024,39.48,67.98,78.12,0.0251,0.004,0.947,0.7729
W,W_wq0.128134_wm0.4,42,64,25.98,53.24,66.12,0.0252,0.004,0.945,0.7729
W,W_wq0.128134_wm0.4,42,128,32.0,60.32,72.56,0.0252,0.004,0.945,0.7729
W,W_wq0.128134_wm0.4,42,256,35.52,64.62,75.6,0.0252,0.004,0.945,0.7729
W,W_wq0.128134_wm0.4,42,512,37.76,66.52,77.08,0.0252,0.004,0.945,0.7729
W,W_wq0.128134_wm0.4,42,1024,39.26,68.1,78.06,0.0252,0.004,0.945,0.7729
W,W_wq0.25_wm0,42,64,25.22,53.08,65.64,0.0252,0.0041,0.946,0.7729
W,W_wq0.25_wm0,42,128,31.6,60.18,72.26,0.0252,0.0041,0.946,0.7729
W,W_wq0.25_wm0,42,256,35.64,64.18,75.34,0.0252,0.0041,0.946,0.7729
W,W_wq0.25_wm0,42,512,38.14,66.42,76.88,0.0252,0.0041,0.946,0.7729
W,W_wq0.25_wm0,42,1024,39.2,67.82,77.96,0.0252,0.0041,0.946,0.7729
W,W_wq0.25_wm0.1,42,64,25.22,53.02,65.66,0.0252,0.0041,0.945,0.7729
W,W_wq0.25_wm0.1,42,128,31.64,60.16,72.2,0.0252,0.0041,0.945,0.7729
W,W_wq0.25_wm0.1,42,256,35.56,64.2,75.42,0.0252,0.0041,0.945,0.7729
W,W_wq0.25_wm0.1,42,512,38.02,66.5,76.96,0.0252,0.0041,0.945,0.7729
W,W_wq0.25_wm0.1,42,1024,39.26,67.8,78.06,0.0252,0.0041,0.945,0.7729
W,W_wq0.25_wm0.4,42,64,25.06,52.94,65.56,0.0252,0.0041,0.943,0.7729
W,W_wq0.25_wm0.4,42,128,31.64,60.08,72.28,0.0252,0.0041,0.943,0.7729
W,W_wq0.25_wm0.4,42,256,35.46,64.2,75.3,0.0252,0.0041,0.943,0.7729
W,W_wq0.25_wm0.4,42,512,37.88,66.52,76.9,0.0252,0.0041,0.943,0.7729
W,W_wq0.25_wm0.4,42,1024,39.18,67.54,78.02,0.0252,0.0041,0.943,0.7729
W,W_wq0.06_wm0.4,0,64,24.78,52.56,66.06,0.0251,0.004,0.935,0.7738
W,W_wq0.06_wm0.4,0,128,31.58,60.08,72.52,0.0251,0.004,0.935,0.7738
W,W_wq0.06_wm0.4,0,256,35.88,64.24,75.68,0.0251,0.004,0.935,0.7738
W,W_wq0.06_wm0.4,0,512,38.36,66.36,77.66,0.0251,0.004,0.935,0.7738
W,W_wq0.06_wm0.4,0,1024,39.52,67.58,78.26,0.0251,0.004,0.935,0.7738
C,C_T02,0,64,24.9,52.48,65.78,0.0251,0.004,0.935,0.7739
C,C_T02,0,128,30.84,60.5,72.46,0.0251,0.004,0.935,0.7739
C,C_T02,0,256,35.0,64.54,75.8,0.0251,0.004,0.935,0.7739
C,C_T02,0,512,38.04,66.68,77.16,0.0251,0.004,0.935,0.7739
C,C_T02,0,1024,39.54,67.4,78.9,0.0251,0.004,0.935,0.7739
U,U_wu0.2_m0.1,0,64,25.02,52.54,66.12,0.0251,0.004,0.939,0.7738
U,U_wu0.2_m0.1,0,128,31.68,60.02,72.76,0.0251,0.004,0.939,0.7738
U,U_wu0.2_m0.1,0,256,35.5,64.64,75.7,0.0251,0.004,0.939,0.7738
U,U_wu0.2_m0.1,0,512,38.24,66.5,77.22,0.0251,0.004,0.939,0.7738
U,U_wu0.2_m0.1,0,1024,39.58,67.68,78.64,0.0251,0.004,0.939,0.7738
