path,absz_bin,count
distillation,0.022772,86661
distillation,0.023648,84881
distillation,0.024524,83432
distillation,0.0254,81296
distillation,0.026275,79946
distillation,0.027151,77682
distillation,0.028027,76400
distillation,0.028903,73973
distillation,0.029779,71783
distillation,0.030655,69445
distillation,0.031531,68270
distillation,0.032406,65983
distillation,0.033282,64360
distillation,0.034158,62684
distillation,0.035034,60808
distillation,0.03591,58436
distillation,0.036786,56440
distillation,0.037662,54740
distillation,0.038537,52804
distillation,0.039413,50956
distillation,0.040289,49216
distillation,0.041165,47462
distillation,0.042041,45845
distillation,0.042917,43823
distillation,0.043792,42336
distillation,0.044668,40551
distillation,0.045544,39229
distillation,0.04642,37303
distillation,0.047296,35724
distillation,0.048172,34138
distillation,0.049048,32876
distillation,0.049923,31210
distillation,0.050799,29780
distillation,0.051675,28558
distillation,0.052551,27359
distillation,0.053427,26501
distillation,0.054303,24815
distillation,0.055179,23648
distillation,0.056054,22319
distillation,0.05693,21239
distillation,0.057806,20085
distillation,0.058682,19248
distillation,0.059558,18246
distillation,0.060434,17211
distillation,0.061309,16094
distillation,0.062185,15387
distillation,0.063061,14282
distillation,0.063937,13772
distillation,0.064813,12805
distillation,0.065689,12123
distillation,0.066565,11274
distillation,0.06744,10665
distillation,0.068316,9922
distillation,0.069192,9553
distillation,0.070068,8900
distillation,0.070944,8279
distillation,0.07182,8033
distillation,0.072696,7397
distillation,0.073571,6766
distillation,0.074447,6354
distillation,0.075323,6026
distillation,0.076199,5576
distillation,0.077075,5284
distillation,0.077951,4922
distillation,0.078826,4532
distillation,0.079702,4270
distillation,0.080578,3832
distillation,0.081454,3622
distillation,0.08233,3558
distillation,0.083206,3151
distillation,0.084082,2861
distillation,0.084957,2763
distillation,0.085833,2542
distillation,0.086709,2220
distillation,frac_below_0.001,0.02548
distillation,frac_below_0.005,0.12656
distillation,frac_below_0.01,0.25003
distillation,frac_below_0.02,0.47666
distillation,frac_below_0.05,0.89067
head-adapt,0.0,112360
head-adapt,0.000869,112101
head-adapt,0.001738,112443
head-adapt,0.002606,112424
head-adapt,0.003475,111217
head-adapt,0.004344,111437
head-adapt,0.005213,110981
head-adapt,0.006082,109890
head-adapt,0.00695,110398
head-adapt,0.007819,108795
head-adapt,0.008688,107971
head-adapt,0.009557,106850
head-adapt,0.010425,107042
head-adapt,0.011294,104880
head-adapt,0.012163,104213
head-adapt,0.013032,103328
head-adapt,0.013901,102112
head-adapt,0.014769,101032
head-adapt,0.015638,99355
head-adapt,0.016507,97885
head-adapt,0.017376,96021
head-adapt,0.018245,94895
head-adapt,0.019113,93565
head-adapt,0.019982,91571
head-adapt,0.020851,90280
head-adapt,0.02172,88313
head-adapt,0.022588,87076
head-adapt,0.023457,85370
head-adapt,0.024326,83168
head-adapt,0.025195,81478
head-adapt,0.026064,79621
head-adapt,0.026932,77919
head-adapt,0.027801,75550
head-adapt,0.02867,74354
head-adapt,0.029539,72354
head-adapt,0.030408,69971
head-adapt,0.031276,68250
head-adapt,0.032145,66905
head-adapt,0.033014,64457
head-adapt,0.033883,62506
head-adapt,0.034751,60481
head-adapt,0.03562,58488
head-adapt,0.036489,56953
head-adapt,0.037358,55168
head-adapt,0.038227,53276
head-adapt,0.039095,51086
head-adapt,0.039964,49592
head-adapt,0.040833,48036
head-adapt,0.041702,46432
head-adapt,0.042571,44416
head-adapt,0.043439,42724
head-adapt,0.044308,40983
head-adapt,0.045177,39290
head-adapt,0.046046,38009
head-adapt,0.046915,36500
head-adapt,0.047783,34729
head-adapt,0.048652,33626
head-adapt,0.049521,31924
head-adapt,0.05039,30586
head-adapt,0.051258,29236
head-adapt,0.052127,28085
head-adapt,0.052996,26684
head-adapt,0.053865,25674
head-adapt,0.054734,24446
head-adapt,0.055602,22987
head-adapt,0.056471,21807
head-adapt,0.05734,20557
head-adapt,0.058209,19443
head-adapt,0.059078,18769
head-adapt,0.059946,17597
head-adapt,0.060815,16755
head-adapt,0.061684,15748
head-adapt,0.062553,14989
head-adapt,0.063421,14244
head-adapt,0.06429,13491
head-adapt,0.065159,12542
head-adapt,0.066028,11771
head-adapt,0.066897,11271
head-adapt,0.067765,10582
head-adapt,0.068634,9806
head-adapt,0.069503,9361
head-adapt,0.070372,8649
head-adapt,0.071241,8347
head-adapt,0.072109,7780
head-adapt,0.072978,7044
head-adapt,0.073847,6665
head-adapt,0.074716,6336
head-adapt,0.075584,5903
head-adapt,0.076453,5374
head-adapt,0.077322,5037
head-adapt,0.078191,4847
head-adapt,0.07906,4366
head-adapt,0.079928,4146
head-adapt,0.080797,3798
head-adapt,0.081666,3606
head-adapt,0.082535,3252
head-adapt,0.083404,3044
head-adapt,0.084272,2806
head-adapt,0.085141,2540
head-adapt,0.08601,2378
head-adapt,frac_below_0.001,0.02528
head-adapt,frac_below_0.005,0.12593
head-adapt,frac_below_0.01,0.24896
head-adapt,frac_below_0.02,0.47523
head-adapt,frac_below_0.05,0.89025
