path,group,gap_bin,count
head-adapt,success,-186,0
head-adapt,success,-180,0
head-adapt,success,-173,0
head-adapt,success,-166,0
head-adapt,success,-160,0
head-adapt,success,-153,0
head-adapt,success,-146,0
head-adapt,success,-140,0
head-adapt,success,-133,0
head-adapt,success,-126,0
head-adapt,success,-120,0
head-adapt,success,-113,2
head-adapt,success,-106,2
head-adapt,success,-100,6
head-adapt,success,-93,9
head-adapt,success,-86,17
head-adapt,success,-80,29
head-adapt,success,-73,41
head-adapt,success,-66,51
head-adapt,success,-60,87
head-adapt,success,-53,107
head-adapt,success,-46,134
head-adapt,success,-40,203
head-adapt,success,-33,245
head-adapt,success,-26,266
head-adapt,success,-20,319
head-adapt,success,-13,297
head-adapt,success,-6,251
head-adapt,success,0,274
head-adapt,success,6,253
head-adapt,success,13,178
head-adapt,success,20,203
head-adapt,success,26,155
head-adapt,success,33,102
head-adapt,success,40,126
head-adapt,success,46,82
head-adapt,success,53,62
head-adapt,success,60,61
head-adapt,success,66,35
head-adapt,success,73,31
head-adapt,success,80,23
head-adapt,success,86,24
head-adapt,success,93,8
head-adapt,success,100,6
head-adapt,success,106,2
head-adapt,success,113,1
head-adapt,success,120,2
head-adapt,success,126,4
head-adapt,success,133,1
head-adapt,success,140,1
head-adapt,success,146,0
head-adapt,success,153,0
head-adapt,success,160,0
head-adapt,success,166,0
head-adapt,success,173,0
head-adapt,success,180,0
head-adapt,success,186,0
head-adapt,success,193,0
head-adapt,fail,-200,2
head-adapt,fail,-193,2
head-adapt,fail,-186,7
head-adapt,fail,-180,6
head-adapt,fail,-173,11
head-adapt,fail,-166,10
head-adapt,fail,-160,7
head-adapt,fail,-153,14
head-adapt,fail,-146,21
head-adapt,fail,-140,24
head-adapt,fail,-133,20
head-adapt,fail,-126,26
head-adapt,fail,-120,44
head-adapt,fail,-113,63
head-adapt,fail,-106,53
head-adapt,fail,-100,78
head-adapt,fail,-93,76
head-adapt,fail,-86,61
head-adapt,fail,-80,105
head-adapt,fail,-73,121
head-adapt,fail,-66,107
head-adapt,fail,-60,129
head-adapt,fail,-53,96
head-adapt,fail,-46,87
head-adapt,fail,-40,59
head-adapt,fail,-33,40
head-adapt,fail,-26,12
head-adapt,fail,-20,2
head-adapt,fail,-13,0
head-adapt,fail,-6,0
head-adapt,fail,0,0
head-adapt,fail,6,0
head-adapt,fail,13,0
head-adapt,fail,20,0
head-adapt,fail,26,0
head-adapt,fail,33,0
head-adapt,fail,40,0
head-adapt,fail,46,0
head-adapt,fail,53,0
head-adapt,fail,60,0
head-adapt,fail,66,0
head-adapt,fail,73,0
head-adapt,fail,80,0
head-adapt,fail,86,0
head-adapt,fail,93,0
head-adapt,fail,100,0
head-adapt,fail,106,0
head-adapt,fail,113,0
head-adapt,fail,120,0
head-adapt,fail,126,0
head-adapt,fail,133,0
head-adapt,fail,140,0
head-adapt,fail,146,0
head-adapt,fail,153,0
head-adapt,fail,160,0
head-adapt,fail,166,0
head-adapt,fail,173,0
head-adapt,fail,180,0
head-adapt,fail,186,0
head-adapt,fail,193,0
