experiment,gallery,method,impl,phase,bytes_per_item,cpu_throttle,p50_ms,p95_ms,ns_per_item,ns_per_byte,inner_reps,n_queries
main,100000,int8,wasm_simd,topk,128,1,0.483333,0.5,4.833,0.0378,12,600
main,100000,int8,js_scalar,scan,128,1,9.8,10.1,98,0.7656,1,50
main,100000,int8,js_scalar,topk,128,1,10.1,10.8,101,0.7891,1,50
main,100000,fp32,wasm_simd,scan,256,1,0.476923,0.492308,4.769,0.0186,13,650
main,100000,fp32,wasm_simd,topk,256,1,0.64,0.65,6.4,0.025,10,500
main,100000,fp32,js_scalar,scan,256,1,4.45,4.55,44.5,0.1738,2,100
main,100000,fp32,js_scalar,topk,256,1,4.65,5.1,46.5,0.1816,2,100
main,100000,fp16,js_scalar,scan,128,1,4.75,4.9,47.5,0.3711,2,100
main,100000,fp16,js_scalar,topk,128,1,6.3,6.4,63,0.4922,1,50
byte_sweep,1000,binary,wasm_simd,scan,16,1,0.0007,0.000711,0.7,0.0437,9003,450150
byte_sweep,1000,binary,wasm_simd,scan,32,1,0.000972,0.000986,0.972,0.0304,7201,360050
byte_sweep,1000,binary,wasm_simd,scan,64,1,0.001609,0.001661,1.609,0.0251,3792,189600
byte_sweep,1000,binary,wasm_simd,scan,128,1,0.00275,0.002792,2.75,0.0215,2400,120000
byte_sweep,1000,binary,wasm_simd,scan,256,1,0.005079,0.005162,5.079,0.0198,1201,60050
byte_sweep,1000,int8,wasm_simd,scan,16,1,0.000698,0.000721,0.698,0.0436,8595,429750
byte_sweep,1000,int8,wasm_simd,scan,32,1,0.001014,0.001028,1.014,0.0317,7200,360000
byte_sweep,1000,int8,wasm_simd,scan,64,1,0.001679,0.001733,1.679,0.0262,3693,184650
byte_sweep,1000,int8,wasm_simd,scan,128,1,0.00311,0.003214,3.11,0.0243,1929,96450
byte_sweep,1000,int8,wasm_simd,scan,256,1,0.007325,0.007436,7.325,0.0286,901,45050
byte_sweep,50000,binary,wasm_simd,scan,16,1,0.034857,0.036,0.697,0.0436,175,8750
byte_sweep,50000,binary,wasm_simd,scan,32,1,0.047967,0.049593,0.959,0.03,123,6150
byte_sweep,50000,binary,wasm_simd,scan,64,1,0.078947,0.081579,1.579,0.0247,76,3800
byte_sweep,50000,binary,wasm_simd,scan,128,1,0.136957,0.13913,2.739,0.0214,46,2300
byte_sweep,50000,binary,wasm_simd,scan,256,1,0.253333,0.26,5.067,0.0198,30,1500
byte_sweep,50000,int8,wasm_simd,scan,16,1,0.034659,0.035227,0.693,0.0433,176,8800
byte_sweep,50000,int8,wasm_simd,scan,32,1,0.048819,0.050394,0.976,0.0305,127,6350
byte_sweep,50000,int8,wasm_simd,scan,64,1,0.083333,0.086111,1.667,0.026,72,3600
byte_sweep,50000,int8,wasm_simd,scan,128,1,0.14918,0.154098,2.984,0.0233,61,3050
byte_sweep,50000,int8,wasm_simd,scan,256,1,0.358824,0.364706,7.176,0.028,17,850
main,256,binary,wasm_simd,scan,128,4,0.002964,0.003256,11.578,0.0905,2058,102900
main,256,binary,wasm_simd,topk,128,4,0.006772,0.007407,26.455,0.2067,945,47250
main,256,binary,js_scalar,scan,128,4,0.039216,0.043137,153.186,1.1968,153,7650
main,256,binary,js_scalar,topk,128,4,0.045,0.047167,175.781,1.3733,600,30000
main,256,int8,wasm_simd,scan,128,4,0.003185,0.003394,12.443,0.0972,1915,95750
main,256,int8,wasm_simd,topk,128,4,0.007448,0.008303,29.094,0.2273,819,40950
main,256,int8,js_scalar,scan,128,4,0.104167,0.109167,406.901,3.1789,120,6000
main,256,int8,js_scalar,topk,128,4,0.1125,0.12,439.453,3.4332,120,6000
main,256,fp32,wasm_simd,scan,256,4,0.005082,0.005456,19.852,0.0775,1338,66900
main,256,fp32,wasm_simd,topk,256,4,0.010478,0.011581,40.929,0.1599,544,27200
main,256,fp32,js_scalar,scan,256,4,0.04918,0.054098,192.111,0.7504,122,6100
main,256,fp32,js_scalar,topk,256,4,0.055833,0.066667,218.099,0.8519,120,6000
main,256,fp16,js_scalar,scan,128,4,0.051667,0.056667,201.823,1.5767,120,6000
main,256,fp16,js_scalar,topk,128,4,0.056667,0.060833,221.354,1.7293,120,6000
main,1000,binary,wasm_simd,scan,128,4,0.011632,0.01257,11.632,0.0909,533,26650
main,1000,binary,wasm_simd,topk,128,4,0.023256,0.024806,23.256,0.1817,258,12900
main,1000,binary,js_scalar,scan,128,4,0.153333,0.171667,153.333,1.1979,60,3000
main,1000,binary,js_scalar,topk,128,4,0.168333,0.176667,168.333,1.3151,120,6000
main,1000,int8,wasm_simd,scan,128,4,0.012816,0.013592,12.816,0.1001,515,25750
main,1000,int8,wasm_simd,topk,128,4,0.02618,0.028755,26.18,0.2045,233,11650
main,1000,int8,js_scalar,scan,128,4,0.405556,0.427778,405.556,3.1684,18,900
main,1000,int8,js_scalar,topk,128,4,0.426667,0.46,426.667,3.3333,15,750
main,1000,fp32,wasm_simd,scan,256,4,0.020064,0.021338,20.064,0.0784,314,15700
main,1000,fp32,wasm_simd,topk,256,4,0.031319,0.034615,31.319,0.1223,182,9100
main,1000,fp32,js_scalar,scan,256,4,0.183333,0.206667,183.333,0.7161,30,1500
main,1000,fp32,js_scalar,topk,256,4,0.2,0.215625,200,0.7812,32,1600
main,1000,fp16,js_scalar,scan,128,4,0.201667,0.211667,201.667,1.5755,60,3000
main,1000,fp16,js_scalar,topk,128,4,0.213333,0.223333,213.333,1.6667,60,3000
main,5000,binary,wasm_simd,scan,128,4,0.056667,0.061667,11.333,0.0885,120,6000
main,5000,binary,wasm_simd,topk,128,4,0.100833,0.105,20.167,0.1576,120,6000
main,5000,binary,js_scalar,scan,128,4,0.744444,0.822222,148.889,1.1632,9,450
main,5000,binary,js_scalar,topk,128,4,0.8125,0.9,162.5,1.2695,8,400
main,5000,int8,wasm_simd,scan,128,4,0.0625,0.066667,12.5,0.0977,120,6000
main,5000,int8,wasm_simd,topk,128,4,0.109167,0.115833,21.833,0.1706,120,6000
main,5000,int8,js_scalar,scan,128,4,2.066667,2.2,413.333,3.2292,3,150
main,5000,int8,js_scalar,topk,128,4,2.1,2.225,420,3.2812,4,200
main,5000,fp32,wasm_simd,scan,256,4,0.098333,0.1025,19.667,0.0768,120,6000
main,5000,fp32,wasm_simd,topk,256,4,0.14,0.146667,28,0.1094,60,3000
main,5000,fp32,js_scalar,scan,256,4,0.928571,1.028571,185.714,0.7254,7,350
main,5000,fp32,js_scalar,topk,256,4,0.971429,1.128571,194.286,0.7589,7,350
main,5000,fp16,js_scalar,scan,128,4,1,1.071429,200,1.5625,7,350
main,5000,fp16,js_scalar,topk,128,4,1.028571,1.128571,205.714,1.6071,7,350
main,50000,binary,wasm_simd,scan,128,4,0.57,0.585,11.4,0.0891,60,3000
main,50000,binary,wasm_simd,topk,128,4,0.942857,1.028571,18.857,0.1473,7,350
main,50000,binary,js_scalar,scan,128,4,7.6,8.1,152,1.1875,1,50
main,50000,binary,js_scalar,topk,128,4,8,8.7,160,1.25,1,50
main,50000,int8,wasm_simd,scan,128,4,0.608333,0.65,12.167,0.0951,12,600
main,50000,int8,wasm_simd,topk,128,4,1.016667,1.066667,20.333,0.1589,6,300
main,50000,int8,js_scalar,scan,128,4,20.4,21.3,408,3.1875,1,50
main,50000,int8,js_scalar,topk,128,4,20.7,21.6,414,3.2344,1,50
main,50000,fp32,wasm_simd,scan,256,4,0.985714,1.071429,19.714,0.077,7,350
main,50000,fp32,wasm_simd,topk,256,4,1.32,1.42,26.4,0.1031,5,250
main,50000,fp32,js_scalar,scan,256,4,9.1,10,182,0.7109,1,50
main,50000,fp32,js_scalar,topk,256,4,9.7,10,194,0.7578,1,50
main,50000,fp16,js_scalar,scan,128,4,10,10.6,200,1.5625,1,50
main,50000,fp16,js_scalar,topk,128,4,10.3,11,206,1.6094,1,50
main,100000,binary,wasm_simd,scan,128,4,1.14,1.2,11.4,0.0891,10,500
main,100000,binary,wasm_simd,topk,128,4,1.875,2.025,18.75,0.1465,4,200
main,100000,binary,js_scalar,scan,128,4,15.4,16.2,154,1.2031,1,50
main,100000,binary,js_scalar,topk,128,4,16.1,16.6,161,1.2578,1,50
main,100000,int8,wasm_simd,scan,128,4,1.233333,1.316667,12.333,0.0964,6,300
main,100000,int8,wasm_simd,topk,128,4,2.025,2.125,20.25,0.1582,4,200
main,100000,int8,js_scalar,scan,128,4,40.6,41.9,406,3.1719,1,50
main,100000,int8,js_scalar,topk,128,4,41.4,42.7,414,3.2344,1,50
main,100000,fp32,wasm_simd,scan,256,4,1.975,2.1,19.75,0.0771,4,200
main,100000,fp32,wasm_simd,topk,256,4,2.666667,2.833333,26.667,0.1042,3,150
main,100000,fp32,js_scalar,scan,256,4,18.6,20.3,186,0.7266,1,50
main,100000,fp32,js_scalar,topk,256,4,19.4,20.1,194,0.7578,1,50
main,100000,fp16,js_scalar,scan,128,4,19.8,20.5,198,1.5469,1,50
main,100000,fp16,js_scalar,topk,128,4,20.7,21.6,207,1.6172,1,50
byte_sweep,1000,binary,wasm_simd,scan,16,4,0.002931,0.003062,2.931,0.1832,14400,720000
byte_sweep,1000,binary,wasm_simd,scan,32,4,0.004071,0.004358,4.071,0.1272,1744,87200
byte_sweep,1000,binary,wasm_simd,scan,64,4,0.006806,0.007222,6.806,0.1063,1440,72000
byte_sweep,1000,binary,wasm_simd,scan,128,4,0.011641,0.012595,11.641,0.0909,524,26200
byte_sweep,1000,binary,wasm_simd,scan,256,4,0.021181,0.022917,21.181,0.0827,288,14400
byte_sweep,1000,int8,wasm_simd,scan,16,4,0.002958,0.003111,2.958,0.1849,7200,360000
byte_sweep,1000,int8,wasm_simd,scan,32,4,0.004236,0.004583,4.236,0.1324,1440,72000
byte_sweep,1000,int8,wasm_simd,scan,64,4,0.006992,0.007436,6.992,0.1093,901,45050
byte_sweep,1000,int8,wasm_simd,scan,128,4,0.012917,0.013472,12.917,0.1009,720,36000
byte_sweep,1000,int8,wasm_simd,scan,256,4,0.030198,0.032673,30.198,0.118,202,10100
byte_sweep,50000,binary,wasm_simd,scan,16,4,0.144444,0.155556,2.889,0.1806,45,2250
byte_sweep,50000,binary,wasm_simd,scan,32,4,0.2,0.211765,4,0.125,34,1700
byte_sweep,50000,binary,wasm_simd,scan,64,4,0.33,0.345,6.6,0.1031,20,1000
byte_sweep,50000,binary,wasm_simd,scan,128,4,0.575,0.608333,11.5,0.0898,12,600
byte_sweep,50000,binary,wasm_simd,scan,256,4,1.0625,1.1125,21.25,0.083,8,400
byte_sweep,50000,int8,wasm_simd,scan,16,4,0.145,0.153333,2.9,0.1813,60,3000
byte_sweep,50000,int8,wasm_simd,scan,32,4,0.206667,0.214167,4.133,0.1292,120,6000
byte_sweep,50000,int8,wasm_simd,scan,64,4,0.348387,0.367742,6.968,0.1089,31,1550
byte_sweep,50000,int8,wasm_simd,scan,128,4,0.616667,0.63,12.333,0.0964,60,3000
byte_sweep,50000,int8,wasm_simd,scan,256,4,1.475,1.6,29.5,0.1152,4,200
