path,bit,flip_frac
distillation,257,0.1324
distillation,258,0.1338
distillation,259,0.1234
distillation,260,0.1326
distillation,261,0.1226
distillation,262,0.0994
distillation,263,0.1348
distillation,264,0.1332
distillation,265,0.1344
distillation,266,0.1088
distillation,267,0.1422
distillation,268,0.1288
distillation,269,0.1424
distillation,270,0.122
distillation,271,0.14
distillation,272,0.1226
distillation,273,0.1248
distillation,274,0.1256
distillation,275,0.1414
distillation,276,0.118
distillation,277,0.128
distillation,278,0.1272
distillation,279,0.1354
distillation,280,0.1018
distillation,281,0.1342
distillation,282,0.133
distillation,283,0.127
distillation,284,0.131
distillation,285,0.1126
distillation,286,0.1326
distillation,287,0.1064
distillation,288,0.1306
distillation,289,0.1322
distillation,290,0.1478
distillation,291,0.1112
distillation,292,0.139
distillation,293,0.1342
distillation,294,0.1502
distillation,295,0.1096
distillation,296,0.144
distillation,297,0.1316
distillation,298,0.1394
distillation,299,0.1374
distillation,300,0.1394
distillation,301,0.1366
distillation,302,0.1184
distillation,303,0.0944
distillation,304,0.1284
distillation,305,0.1162
distillation,306,0.1278
distillation,307,0.1514
distillation,308,0.1274
distillation,309,0.1228
distillation,310,0.143
distillation,311,0.1332
distillation,312,0.1388
distillation,313,0.1372
distillation,314,0.1332
distillation,315,0.1358
distillation,316,0.1154
distillation,317,0.1336
distillation,318,0.1264
distillation,319,0.1174
distillation,320,0.1164
distillation,321,0.1394
distillation,322,0.1298
distillation,323,0.1412
distillation,324,0.1414
distillation,325,0.1286
distillation,326,0.113
distillation,327,0.1596
distillation,328,0.1174
distillation,329,0.1264
distillation,330,0.1296
distillation,331,0.13
distillation,332,0.1398
distillation,333,0.1168
distillation,334,0.148
distillation,335,0.147
distillation,336,0.1124
distillation,337,0.1286
distillation,338,0.1124
distillation,339,0.1292
distillation,340,0.1154
distillation,341,0.131
distillation,342,0.1454
distillation,343,0.1352
distillation,344,0.1192
distillation,345,0.1232
distillation,346,0.135
distillation,347,0.1586
distillation,348,0.1296
distillation,349,0.1328
distillation,350,0.1136
distillation,351,0.1396
distillation,352,0.127
distillation,353,0.1114
distillation,354,0.1384
distillation,355,0.1412
distillation,356,0.121
distillation,357,0.1226
distillation,358,0.1386
distillation,359,0.1328
distillation,360,0.1394
distillation,361,0.1178
distillation,362,0.114
distillation,363,0.1052
distillation,364,0.1442
distillation,365,0.121
distillation,366,0.1182
distillation,367,0.1258
distillation,368,0.13
distillation,369,0.141
distillation,370,0.1282
distillation,371,0.1208
distillation,372,0.1364
distillation,373,0.1358
distillation,374,0.121
distillation,375,0.1452
distillation,376,0.1098
distillation,377,0.1124
distillation,378,0.1372
distillation,379,0.124
distillation,380,0.1356
distillation,381,0.153
distillation,382,0.0994
distillation,383,0.125
distillation,384,0.1288
distillation,385,0.1216
distillation,386,0.13
distillation,387,0.1142
distillation,388,0.1332
distillation,389,0.1266
distillation,390,0.1184
